"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"Vis","Vis",0.435051781919398,0.450867856519212,-0.0842426674411458,406,"sub-001","LSD"
"Vis","SomMot",0.240290897987653,0.276179554388537,-0.12411699777517,1015,"sub-001","LSD"
"Vis","DorsAttn",0.205872074720733,0.263354399507487,-0.123624822717626,754,"sub-001","LSD"
"Vis","SalVentAttn",0.140812025602858,0.195561723345685,-0.0884245137268657,638,"sub-001","LSD"
"Vis","Limbic",-0.0359432723267676,0.131970630484318,-0.155881774334686,348,"sub-001","LSD"
"Vis","Cont",0.00981448018795556,0.151726266498155,-0.136066866578473,870,"sub-001","LSD"
"Vis","Default",0.0482016037781403,0.203075578686779,-0.141835744398571,1334,"sub-001","LSD"
"Vis","Subcortex",0.101730334303498,0.203982236623569,-0.118772067298287,928,"sub-001","LSD"
"SomMot","Vis",0.240290897987653,0.276179554388537,-0.12411699777517,1015,"sub-001","LSD"
"SomMot","SomMot",0.558062971053896,0.559009584466736,-0.004225396172513,595,"sub-001","LSD"
"SomMot","DorsAttn",0.319580071355156,0.338444111893615,-0.0516985446972552,910,"sub-001","LSD"
"SomMot","SalVentAttn",0.377577242265604,0.390806861439558,-0.0722298096488226,770,"sub-001","LSD"
"SomMot","Limbic",-0.0495286032012251,0.106352977929805,-0.168732165242601,420,"sub-001","LSD"
"SomMot","Cont",0.00305652943273381,0.16116401186861,-0.154449783868405,1050,"sub-001","LSD"
"SomMot","Default",-0.0106854988690803,0.178662257864944,-0.171337613939624,1610,"sub-001","LSD"
"SomMot","Subcortex",0.202972805878511,0.242575327325864,-0.0859789246817984,1120,"sub-001","LSD"
"DorsAttn","Vis",0.205872074720733,0.263354399507487,-0.123624822717626,754,"sub-001","LSD"
"DorsAttn","SomMot",0.319580071355156,0.338444111893615,-0.0516985446972552,910,"sub-001","LSD"
"DorsAttn","DorsAttn",0.334659656757833,0.362612962988786,-0.0916282632641939,325,"sub-001","LSD"
"DorsAttn","SalVentAttn",0.2178850440671,0.282632585593522,-0.103154849334739,572,"sub-001","LSD"
"DorsAttn","Limbic",-0.0693605443145367,0.0904231355857351,-0.156371459111714,312,"sub-001","LSD"
"DorsAttn","Cont",0.0525808657365568,0.216661401649966,-0.146926149521793,780,"sub-001","LSD"
"DorsAttn","Default",-0.0533480367657679,0.157580724735493,-0.173049417801215,1196,"sub-001","LSD"
"DorsAttn","Subcortex",0.0695104131663474,0.170232266918693,-0.123804864035523,832,"sub-001","LSD"
"SalVentAttn","Vis",0.140812025602858,0.195561723345685,-0.0884245137268657,638,"sub-001","LSD"
"SalVentAttn","SomMot",0.377577242265604,0.390806861439558,-0.0722298096488226,770,"sub-001","LSD"
